last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
hosmer,eric,543333,hosme001,3516
kirilloff,alex,666135,kiria001,20325
beltré,adrian,134181,belta001,639
riley,austin,663586,rilea001,18360
jansen,danny,643376,jansd001,16535
pederson,joc,592626,pedej001,11899
garcía,avisaíl,541645,garca003,5760
machado,manny,592518,machm001,11493
cron,c. j.,543068,cronc002,12546
winker,jesse,608385,winkj002,13590
pinder,chad,640461,pindc001,15191
acuña,ronald,660670,acunr001,18401
franco,wander,677551,franw002,23667
encarnación,edwin,429665,encae001,2151
morales,kendrys,434778,morak001,8610
schwarber,kyle,656941,schwk001,16478
ramírez,josé,608070,ramij003,13510
díaz,yandy,650490,diazy001,16578
riley,austin,663586,rilea001,18360
choi,ji man,596847,choij001,5452
pujols,albert,405395,pujoa001,1177
garcía,avisaíl,541645,garca003,5760
seager,kyle,572122,seagk001,9785
jiménez,eloy,650391,jimee001,17484
bellinger,cody,641355,bellc002,15998
ethier,andre,444843,ethia001,6265
goldschmidt,paul,502671,goldp001,9218
greene,riley,682985,greer003,25976
lowrie,jed,476704,lowrj001,4418
cron,c. j.,543068,cronc002,12546
pence,hunter,452254,pench001,8252
cain,lorenzo,456715,cainl001,9077
castro,willi,650489,castw003,17338
smith,will,669257,smitw003,19197
garver,mitch,641598,garvm001,15161
bichette,bo,666182,bichb001,19612
turner,trea,607208,turnt001,16252
contreras,willson,575929,contw001,11609
martínez,víctor,400121,martv001,393
ozuna,marcell,542303,ozunm001,10324
jiménez,eloy,650391,jimee001,17484
bour,justin,571506,bourj002,9744
yastrzemski,mike,573262,yastm001,14854
walker,christian,572233,walkc002,13419
joyce,matt,459964,joycm001,3353
abreu,josé,547989,abrej003,15676
springer,george,543807,sprig001,12856
muncy,max,571970,muncm001,13301
schwarber,kyle,656941,schwk001,16478
longoria,evan,446334,longe001,9368
rizzo,anthony,519203,rizza001,3473
yelich,christian,592885,yelic001,11477
bogaerts,xander,593428,bogax001,12161
frazier,clint,640449,frazc001,15983
castellanos,nick,592206,castn001,11737
castro,jason,488771,castj006,8722
wade,lamonte,664774,wadel001,18126
correa,carlos,621043,corrc001,14162
semien,marcus,543760,semim001,12533
stanton,giancarlo,519317,stanm004,4949
tatís,fernando,665487,tatif002,19709
cruz,nelson,443558,cruzn002,2434
pham,tommy,502054,phamt001,2967
wade,lamonte,664774,wadel001,18126
granderson,curtis,434158,granc001,4747
choo,shin-soo,425783,choos001,3174
mccutchen,andrew,457705,mccua001,9847
mountcastle,ryan,663624,mounr001,18373
cooper,garrett,643265,coopg002,15279
marte,starling,516782,marts002,9241
kepler,max,596146,keplm001,12144
choo,shin-soo,425783,choos001,3174
harrison,josh,543281,harrj002,8202
blackmon,charlie,453568,blacc001,7859
vogelbach,dan,596129,voged001,14130
hayes,ke'bryan,663647,hayek001,18577
moreland,mitch,519048,morem001,3086
happ,ian,664023,happi001,17919
yelich,christian,592885,yelic001,11477
piscotty,stephen,572039,piscs001,13367
betts,mookie,605141,bettm001,13611
robinson,clint,519208,robic001,6908
canha,mark,592192,canhm001,11445
soto,geovany,434567,sotog001,3707
alonso,yonder,475174,alony001,2530
mancini,trey,641820,manct001,15149
bell,josh,605137,bellj005,13145
jones,nolan,666134,jonen002,20529
springer,george,543807,sprig001,12856
ward,taylor,621493,wardt002,17548
cron,c. j.,543068,cronc002,12546
pham,tommy,502054,phamt001,2967
kang,jung ho,628356,kangj001,17182
kang,jung ho,628356,kangj001,17182
hosmer,eric,543333,hosme001,3516
devers,rafael,646240,dever001,17350
posey,buster,457763,poseb001,9166
upton,justin,457708,uptoj001,5222
torres,gleyber,650402,torrg001,16997
nola,austin,543592,nolaa002,15941
posey,buster,457763,poseb001,9166
brantley,michael,488726,branm003,4106
longoria,evan,446334,longe001,9368
muncy,max,571970,muncm001,13301
correa,carlos,621043,corrc001,14162
avila,alex,488671,avila001,7476
altuve,josé,514888,altuj001,5417
bouchard,sean,656248,boucs001,21270
carpenter,matt,572761,carpm002,8090
machado,manny,592518,machm001,11493
lowe,brandon,664040,loweb001,18882
bautista,josé,430832,bautj002,1887
ramírez,josé,608070,ramij003,13510
reynolds,bryan,668804,reynb001,19326
beltré,adrian,134181,belta001,639
mccutchen,andrew,457705,mccua001,9847
smith,seth,452234,smits002,7331
france,ty,664034,frant002,17982
span,denard,452655,spand001,8347
joyce,matt,459964,joycm001,3353
kemp,matt,461314,kempm001,5631
cave,jake,595909,cavej001,14477
canha,mark,592192,canhm001,11445
blackmon,charlie,453568,blacc001,7859
turner,justin,457759,turnj001,5235
puig,yasiel,624577,puigy001,14225
chapman,matt,656305,chapm001,16505
gutiérrez,franklin,429711,gutif001,3255
ramírez,josé,608070,ramij003,13510
reynolds,bryan,668804,reynb001,19326
reyes,franmil,614177,reyef001,14566
díaz,yandy,650490,diazy001,16578
nimmo,brandon,607043,nimmb001,12927
howard,ryan,429667,howar001,2154
freese,david,501896,freed001,9549
walker,christian,572233,walkc002,13419
springer,george,543807,sprig001,12856
murphy,daniel,502517,murpd006,4316
bichette,bo,666182,bichb001,19612
soler,jorge,624585,solej001,14221
goldschmidt,paul,502671,goldp001,9218
voit,luke,572228,voitl001,14811
burger,jake,669394,burgj001,22275
pollock,aj,572041,polla001,9256
wallach,chad,595453,wallc001,17161
santana,carlos,467793,santc002,2396
bogaerts,xander,593428,bogax001,12161
yelich,christian,592885,yelic001,11477
avila,alex,488671,avila001,7476
fowler,dexter,451594,fowld001,4062
beltré,adrian,134181,belta001,639
santander,anthony,623993,santa003,14551
moncada,yoán,660162,moncy001,17232
mccutchen,andrew,457705,mccua001,9847
polanco,jorge,593871,polaj001,13152
pence,hunter,452254,pench001,8252
story,trevor,596115,stort001,12564
abreu,josé,547989,abrej003,15676
ford,mike,645801,fordm002,15585
buxton,byron,621439,buxtb001,14161
zobrist,ben,450314,zobrb001,7435
mccutchen,andrew,457705,mccua001,9847
senzel,nick,669222,senzn001,19293
olson,matt,621566,olsom001,14344
grandal,yasmani,518735,grany001,11368
martín,leonys,547982,martl004,11846
mauer,joe,408045,mauej001,1857
choo,shin-soo,425783,choos001,3174
harris,michael,671739,harrm004,25931
lindor,francisco,596019,lindf001,12916
rendon,anthony,543685,renda001,12861
brantley,michael,488726,branm003,4106
brantley,michael,488726,branm003,4106
arráez,luis,650333,arral001,18568
bohm,alec,664761,bohma001,21618
gyorko,jedd,576397,gyorj001,10816
diaz,yainer,673237,diazy004,23003
betts,mookie,605141,bettm001,13611
abreu,wilyer,677800,abrew002,23772
santana,domingo,570267,santd002,10348
moore,dylan,664238,moord002,18042
nava,daniel,537953,navad002,5450
suzuki,seiya,673548,suzus001,30116
piscotty,stephen,572039,piscs001,13367
abreu,josé,547989,abrej003,15676
turner,trea,607208,turnt001,16252
bogaerts,xander,593428,bogax001,12161
dickerson,alex,543105,dicka001,12649
aguilar,jesús,542583,aguij001,11342
joyce,matt,459964,joycm001,3353
lewis,kyle,641786,lewik001,19508
canó,robinson,429664,canor001,3269
campbell,eric,493472,campe001,6938
realmuto,j. t.,592663,realj001,11739
candelario,jeimer,600869,candj002,13621
encarnación,edwin,429665,encae001,2151
crawford,brandon,543063,crawb001,5343
cordero,franchy,614173,cordf003,14567
nootbaar,lars,663457,nootl001,21454
winker,jesse,608385,winkj002,13590
mountcastle,ryan,663624,mounr001,18373
céspedes,yoenis,493316,cespy001,13110
candelario,jeimer,600869,candj002,13621
walsh,jared,665120,walsj001,18607
valencia,danny,502143,valed001,6364
rizzo,anthony,519203,rizza001,3473
de la cruz,bryan,650559,delab001,19600
frazier,todd,453943,frazt001,785
suárez,eugenio,553993,suare001,12552
peralta,david,444482,perad001,2136
álvarez,pedro,476883,alvap001,2495
bichette,bo,666182,bichb001,19612
schneider,davis,676914,schnd001,23565
canó,robinson,429664,canor001,3269
santana,domingo,570267,santd002,10348
la stella,tommy,600303,lastt001,12371
díaz,yandy,650490,diazy001,16578
campusano,luis,669134,campl002,22217
davis,j. d.,605204,davij006,16219
morales,kendrys,434778,morak001,8610
ozuna,marcell,542303,ozunm001,10324
pham,tommy,502054,phamt001,2967
altuve,josé,514888,altuj001,5417
donovan,brendan,680977,donob001,24679
puig,yasiel,624577,puigy001,14225
jansen,danny,643376,jansd001,16535
healy,ryon,592387,healr001,15447
zunino,mike,572287,zunim001,13265
pinder,chad,640461,pindc001,15191
ruf,darin,573131,ruf-d001,9929
arráez,luis,650333,arral001,18568
hilliard,sam,656541,hills005,17954
swanson,dansby,621020,swand001,18314
soler,jorge,624585,solej001,14221
gorman,nolan,669357,gormn001,22263
mauer,joe,408045,mauej001,1857
renfroe,hunter,592669,renfh001,15464
moreland,mitch,519048,morem001,3086
upton,justin,457708,uptoj001,5222
turner,justin,457759,turnj001,5235
bruce,jay,457803,brucj001,9892
bryant,kris,592178,bryak001,15429
walker,neil,435522,walkn001,7539
arenado,nolan,571448,arenn001,9777
tucker,kyle,663656,tuckk001,18345
cervelli,francisco,465041,cervf001,5275
ruf,darin,573131,ruf-d001,9929
lamb,jake,571875,lambj001,13329
davis,chris,448801,davic003,9272
benintendi,andrew,643217,benia002,17901
arencibia,j. p.,450317,arenj001,697
pham,tommy,502054,phamt001,2967
contreras,willson,575929,contw001,11609
canó,robinson,429664,canor001,3269
moncada,yoán,660162,moncy001,17232
