"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
24481,147,"NYY",2019,24481,100,0.248,0.191,0.297,0.439,0.318,0.309,0.239,1374,5535,88.4,12.9,2254,89.1,88.76,3157,11651,12828,-0.29999999999999716,6,107,153,116,149,295,324,288,"39.9","-39.9",,
24300,135,"SD",2023,24300,100,0.236,0.147,0.288,0.383,0.305,0.309,0.238,1270,5391,87.5,11.3,2278,88.1,88.17,3007,11295,12998,0.10000000000000853,6.46,111,150,117,149,295,322,293,"88.6","-88.6",,
23611,142,"MIN",2022,23611,100,0.242,0.158,0.286,0.4,0.309,0.309,0.24,1320,5458,88.3,14,2255,87.8,87.71,2912,11576,12035,-0.09999999999999432,6.21,110,156,118,149,297,329,291,"2.5","-2.5",,
22642,141,"TOR",2015,22642,100,0.248,0.155,0.28,0.403,0.306,0.309,0.247,1353,5452,87.9,11.7,2141,86.8,85.86,2339,10949,11632,-0.8999999999999915,5.97,109,152,113,148,292,316,294,"22.2","-22.2",,
23917,117,"HOU",2021,23917,100,0.228,0.153,0.276,0.382,0.3,0.309,0.235,1231,5389,88.3,11.3,2296,88,87.59,2993,10997,12920,-0.4000000000000057,6.05,112,155,117,150,291,322,291,"86.8","-86.8",,
23698,120,"WSH",2018,23698,100,0.242,0.169,0.289,0.411,0.311,0.309,0.236,1320,5453,87.6,14,2193,88.7,88.27,2824,11309,12388,-0.4000000000000057,6.05,111,151,113,148,297,313,296,"36.9","-36.9",,
23588,111,"BOS",2016,23588,100,0.246,0.151,0.295,0.397,0.308,0.309,0.238,1342,5459,88,13.4,2210,87.1,86.23,2676,11092,12448,-0.8999999999999915,5.93,107,149,114,146,283,318,288,"25.9","-25.9",,
23543,158,"MIL",2023,23543,100,0.227,0.158,0.269,0.385,0.297,0.309,0.241,1218,5377,88.1,12.4,2283,89.2,89.76,2842,10884,12659,0.5999999999999943,6.62,111,150,117,148,299,324,297,"94.2","-94.2",,
24315,158,"MIL",2018,24315,100,0.233,0.155,0.282,0.387,0.302,0.308,0.237,1259,5415,87.7,12.1,2210,88.2,87.85,2913,11289,13025,-0.29999999999999716,6.05,110,154,113,150,300,317,293,"46.8","-46.8",,
13842,119,"LAD",2024,13842,100,0.228,0.157,0.269,0.385,0.299,0.308,0.237,736,3223,88.2,13.4,2258,89.7,90.2,1651,6677,7165,0.5,6.56,114,150,122,150,296,315,293,"39.4","-39.4",69.29780595839918,"7.159604706"
24177,144,"ATL",2018,24177,100,0.229,0.141,0.281,0.37,0.299,0.308,0.234,1236,5393,88,11.8,2247,89,88.34,2875,11006,13166,-0.7000000000000028,5.84,107,150,105,149,297,318,297,"75.9","-75.9",,
23475,114,"CLE",2019,23475,100,0.24,0.179,0.293,0.419,0.305,0.308,0.239,1308,5449,88.5,14.8,2281,87.5,87.27,3024,11206,12268,-0.20000000000000284,6.03,110,152,116,149,289,312,289,"83.4","-83.4",,
23574,110,"BAL",2015,23574,100,0.257,0.162,0.299,0.418,0.32,0.307,0.242,1406,5479,88.3,11.7,2116,89.2,88.81,2500,11079,12399,-0.4000000000000057,6.01,110,152,117,148,292,302,289,"-30.4","30.4",,
