IDfg,Season,Name,OPS,PA
17919,2022,Ian Happ,0.781,641
13757,2018,Chris Taylor,0.775,604
14106,2016,Addison Russell,0.738,598
16426,2023,Thairo Estrada,0.731,530
17929,2022,Cedric Mullins II,0.721,672
4949,2015,Giancarlo Stanton,0.952,318
20043,2021,Luis Robert,0.946,296
4314,2021,Joey Votto,0.938,533
4220,2017,Ryan Zimmerman,0.93,576
2434,2017,Nelson Cruz,0.924,645
14221,2019,Jorge Soler,0.922,679
12564,2016,Trevor Story,0.909,415
11579,2023,Bryce Harper,0.9,546
15149,2019,Trey Mancini,0.899,679
19556,2021,Yordan Alvarez,0.877,598
18568,2023,Luis Arraez,0.861,617
4106,2015,Michael Brantley,0.859,596
10339,2018,Scooter Gennett,0.847,638
14161,2022,Byron Buxton,0.833,382
4106,2018,Michael Brantley,0.832,631
20202,2023,Brandon Marsh,0.829,472
3516,2015,Eric Hosmer,0.822,667
9241,2022,Starling Marte,0.814,505
15998,2018,Cody Bellinger,0.814,632
13510,2019,Jose Ramirez,0.806,542
9774,2019,Christian Vazquez,0.798,521
11038,2017,Kevin Kiermaier,0.788,421
5933,2021,Jean Segura,0.784,567
6885,2016,Ian Desmond,0.782,677
11493,2023,Manny Machado,0.782,601
5933,2017,Jean Segura,0.776,566
9785,2017,Kyle Seager,0.773,650
8709,2022,Elvis Andrus,0.707,577
9054,2017,Justin Smoak,0.883,637
16997,2019,Gleyber Torres,0.871,604
14162,2015,Carlos Correa,0.857,432
17350,2023,Rafael Devers,0.851,656
3174,2015,Shin-Soo Choo,0.838,653
21523,2021,Jonathan India,0.835,631
9927,2019,Brett Gardner,0.829,550
5038,2021,Josh Donaldson,0.827,543
10071,2016,Jonathan Villar,0.826,679
7739,2015,Travis d'Arnaud,0.825,268
2967,2019,Tommy Pham,0.818,654
11609,2022,Willson Contreras,0.815,487
9218,2023,Paul Goldschmidt,0.81,687
4962,2016,Asdrubal Cabrera,0.81,568
16376,2018,Michael Conforto,0.797,638
10047,2016,Wil Myers,0.797,676
10071,2019,Jonathan Villar,0.792,714
5222,2015,Justin Upton,0.79,620
9874,2017,DJ LeMahieu,0.783,682
6368,2015,Adam Jones,0.782,581
10556,2016,Cesar Hernandez,0.764,622
18015,2019,Paul DeJong,0.762,664
12147,2019,Nick Ahmed,0.753,625
11265,2016,Jonathan Schoop,0.752,647
3312,2015,Martin Prado,0.732,551
4922,2018,Ender Inciarte,0.705,660
19709,2020,Fernando Tatis Jr.,0.937,257
3410,2016,Ryan Braun,0.903,564
13110,2016,Yoenis Cespedes,0.884,543
2396,2016,Carlos Santana,0.865,688
15676,2015,Jose Abreu,0.85,668
11899,2016,Joc Pederson,0.847,476
3473,2018,Anthony Rizzo,0.846,665
19599,2023,Chas McCormick,0.842,457
5361,2015,Freddie Freeman,0.841,481
13152,2019,Jorge Polanco,0.841,704
12927,2021,Brandon Nimmo,0.838,386
6012,2018,Didi Gregorius,0.829,569
19611,2022,Vladimir Guerrero Jr.,0.818,706
11281,2019,Whit Merrifield,0.811,735
12155,2018,Eddie Rosario,0.803,592
12861,2016,Anthony Rendon,0.797,647
12532,2019,Kolten Wong,0.784,549
11281,2017,Whit Merrifield,0.784,630
9241,2015,Starling Marte,0.78,633
15223,2021,Adam Frazier,0.779,639
18314,2021,Dansby Swanson,0.76,653
15986,2019,Willy Adames,0.735,584
15986,2023,Willy Adames,0.717,638
21636,2022,Jeremy Pena,0.715,558
12552,2023,Eugenio Suarez,0.714,694
24610,2023,Steven Kwan,0.71,718
19352,2021,Sean Murphy,0.71,448
13590,2021,Jesse Winker,0.949,485
11579,2018,Bryce Harper,0.889,695
10348,2017,Domingo Santana,0.875,607
15117,2019,Hunter Dozier,0.87,586
29695,2023,Matt McLain,0.864,403
3410,2015,Ryan Braun,0.854,568
19198,2021,Yuli Gurriel,0.846,605
2502,2015,Lucas Duda,0.838,554
11003,2016,Evan Gattis,0.826,499
13367,2018,Stephen Piscotty,0.821,605
17982,2021,Ty France,0.813,650
11615,2022,Brandon Drury,0.813,568
14950,2018,Johan Camargo,0.806,524
17919,2023,Ian Happ,0.791,691
3312,2016,Martin Prado,0.775,658
4962,2018,Asdrubal Cabrera,0.774,592
13608,2018,Mallex Smith,0.773,544
18577,2023,Ke'Bryan Hayes,0.762,525
12161,2017,Xander Bogaerts,0.746,635
9874,2022,DJ LeMahieu,0.734,541
11200,2015,Kole Calhoun,0.731,686
6887,2017,Martin Maldonado,0.645,471
13510,2020,Jose Ramirez,0.993,254
10324,2023,Marcell Ozuna,0.905,592
9256,2021,A.J. Pollock,0.892,422
10681,2019,Gio Urshela,0.889,476
15937,2016,Aledmys Diaz,0.879,460
15274,2019,Mike Tauchman,0.865,296
13499,2019,Tom Murphy,0.858,281
1433,2018,Wilson Ramos,0.845,416
4314,2018,Joey Votto,0.837,623
15429,2021,Kris Bryant,0.835,586
14161,2019,Byron Buxton,0.827,295
15986,2021,Willy Adames,0.818,555
7927,2019,Eric Sogard,0.81,442
13621,2023,Jeimer Candelario,0.807,576
14344,2022,Matt Olson,0.802,699
