away_team,away_score,away_team_xwoba_diff,away_lineup_xwoba,away_team_xfip,away_starter_xfip,away_close_win_pct,away_run_diff,home_team,home_score,home_team_xwoba_diff,home_lineup_xwoba,home_team_xfip,home_starter_xfip,home_close_win_pct,home_run_diff
SD,1,-0.01845,0.3141725027827801,4.2225,3.9476343625077295,0.5149069767441861,-133.5,LAD,5,0.05029999999999999,0.3343128802532147,3.757,3.4406175842936406,0.5408395176252319,240.79999999999998
CHC,11,0.00445,0.312922693881884,4.2615,4.0922030751922,0.4659747417672832,106.24999999999999,PIT,3,-0.0114,0.31677995430214745,4.5165,4.475193454382426,0.4694295900178253,-101.5
MIA,2,-0.0258,0.29873396433882715,4.9334999999999996,5.235469296608455,0.40443181818181817,-177.4,WSH,5,0.02095,0.3272646792334532,4.242500000000001,4.610999672640968,0.4637992038920832,133.7
DET,11,-0.03045,0.3113564142090947,4.718,4.333893512851897,0.4028525641025641,-265.15,CWS,5,-0.02885,0.3045584748915119,4.8575,5.320194404705134,0.4278409090909091,-139.5
CLE,8,0.019549999999999998,0.3223418956695016,4.0065,4.930478802616648,0.4956020837507514,147.8,KC,4,-0.03065,0.30477273440987146,4.8475,4.589584490098093,0.4134021901443504,-168.9
MIN,2,0.013349999999999935,0.32667957433736433,4.357,4.2332091551916635,0.5666341991341991,105.8,OAK,7,0.0167,0.33848260582641243,4.5755,4.593877355395964,0.5778344671201814,120.7
STL,5,0.009899999999999999,0.31982787908569243,4.2940000000000005,4.408983577452286,0.5120734644720996,86.6,SEA,4,-0.01465,0.30221213807852026,4.6209999999999996,4.751419026612786,0.5346493411228419,-92.8
NYY,8,0.030449999999999998,0.3338128694370211,4.0375,4.351982623086471,0.49700552825552824,197.59999999999997,TB,4,0.026,0.3242064981765153,3.9725,4.1877214873325554,0.5424902216427641,83.8
LAA,3,-0.0069,0.32608207838983344,4.5805,4.750624622312977,0.5111896465903435,-59.5,TEX,9,-0.01745,0.3177848481482681,4.7705,4.075399709302325,0.47556385277282887,-71.1
BOS,8,0.023749999999999997,0.32830539846497697,4.2005,4.991911877394636,0.5474108818011256,118.6,TOR,7,-0.008499999999999999,0.31901676286630165,4.717,4.76987379502952,0.48074953980671875,-105.6
COL,0,-0.02324999999999994,0.3193753604951128,4.479,4.7537144906743185,0.5555133295519001,-55.0,AZ,8,-0.0057,0.32203298848953643,4.1834999999999996,3.5728070175438593,0.4696930618401206,77.2
MIA,0,-0.0258,0.3113239577527287,4.9334999999999996,4.827374261679069,0.40443181818181817,-177.4,ATL,1,0.0083,0.3205349618567156,4.3925,5.046333023255813,0.612382965871338,79.35000000000001
SD,3,-0.01845,0.3114700632852154,4.2225,4.692530816518196,0.5149069767441861,-133.5,LAD,2,0.05029999999999999,0.31925209607306654,3.757,3.2750851808634773,0.5408395176252319,240.79999999999998
PHI,7,-0.00885,0.32795563209092,4.3725,4.5228617158763305,0.49550706033376124,-38.55,NYM,2,0.01405,0.31667018672561026,4.2445,2.9906312489953386,0.47162107396149944,5.449999999999999
MIL,7,0.007500000000000001,0.31591977133963095,4.301,4.813867243173993,0.5984410801963993,30.8,PIT,6,-0.0114,0.3204089531266672,4.5165,5.110987421383648,0.4694295900178253,-101.5
STL,9,0.009899999999999999,0.31404427927171047,4.2940000000000005,4.625847321357753,0.5120734644720996,86.6,SF,4,-0.022350000000000002,0.3193591278762785,4.4775,4.290154897494305,0.6116979061127997,-101.55
KC,7,-0.03065,0.30850464150764406,4.8475,4.70944768162894,0.4134021901443504,-168.9,WSH,4,0.02095,0.3363239162253031,4.242500000000001,4.595050471421942,0.4637992038920832,133.7
BOS,9,0.023749999999999997,0.3244089785063522,4.2005,4.079894333191308,0.5474108818011256,118.6,DET,6,-0.03045,0.30848975811711077,4.718,5.4471245366823595,0.4028525641025641,-265.15
LAA,5,-0.0069,0.32851569752320575,4.5805,4.117478013399083,0.5111896465903435,-59.5,HOU,4,0.04639999999999997,0.3411572861105056,3.6854999999999998,3.343082426127527,0.5489462209302326,263.15
TEX,6,-0.01745,0.3151479717775913,4.7705,5.127640037486752,0.47556385277282887,-71.1,MIN,15,0.013349999999999935,0.3313892979946431,4.357,4.759652726715687,0.5666341991341991,105.8
OAK,5,0.0167,0.3257739342812551,4.5755,4.485142245072836,0.5778344671201814,120.7,SEA,2,-0.01465,0.2997194504821335,4.6209999999999996,5.011761393366186,0.5346493411228419,-92.8
NYY,8,0.030449999999999998,0.33426976819313353,4.0375,3.8745675902602854,0.49700552825552824,197.59999999999997,TB,4,0.026,0.31713181188648937,3.9725,4.561530843417733,0.5424902216427641,83.8
BAL,4,-0.03634999999999994,0.3033540094088343,5.028500000000001,4.5362328548644335,0.35,-233.39999999999998,TOR,1,-0.008499999999999999,0.3181559854288426,4.717,5.1214149209849325,0.48074953980671875,-105.6
COL,2,-0.02324999999999994,0.30559608335915506,4.479,3.682890328551597,0.5555133295519001,-55.0,AZ,4,-0.0057,0.3095516013906085,4.1834999999999996,3.703816822701212,0.4696930618401206,77.2
MIA,5,-0.0258,0.3059279856838289,4.9334999999999996,4.839692030035618,0.40443181818181817,-177.4,ATL,4,0.0083,0.33427017792212754,4.3925,3.4344117647058816,0.612382965871338,79.35000000000001
CLE,7,0.019549999999999998,0.32241166420339523,4.0065,3.4666272773093696,0.4956020837507514,147.8,CIN,2,4.99999999999997e-05,0.3181005153747013,4.228999999999999,4.240179924114537,0.3724484287642182,-54.15
SD,3,-0.01845,0.30807060912797374,4.2225,4.333130910294661,0.5149069767441861,-133.5,LAD,1,0.05029999999999999,0.3345037783251624,3.757,3.8293275137407043,0.5408395176252319,240.79999999999998
PHI,5,-0.00885,0.3135344341507553,4.3725,4.274550648440239,0.49550706033376124,-38.55,NYM,6,0.01405,0.3069543797673514,4.2445,3.4967593078133192,0.47162107396149944,5.449999999999999
MIL,2,0.007500000000000001,0.32898917056871946,4.301,4.086745765624525,0.5984410801963993,30.8,PIT,12,-0.0114,0.32056131606240074,4.5165,5.374599286134933,0.4694295900178253,-101.5
STL,4,0.009899999999999999,0.310639269063934,4.2940000000000005,4.095069816094131,0.5120734644720996,86.6,SF,8,-0.022350000000000002,0.31372484147807156,4.4775,4.268781254656535,0.6116979061127997,-101.55
KC,0,-0.03065,0.31183811594554217,4.8475,5.385251522979995,0.4134021901443504,-168.9,WSH,6,0.02095,0.32933502603742437,4.242500000000001,3.0173507735583684,0.4637992038920832,133.7
CHC,6,0.00445,0.3317407991598349,4.2615,4.266015771686068,0.4659747417672832,106.24999999999999,CWS,3,-0.02885,0.30597909824399505,4.8575,4.328305611899933,0.4278409090909091,-139.5
BOS,10,0.023749999999999997,0.3116727048777805,4.2005,4.630400375388586,0.5474108818011256,118.6,DET,6,-0.03045,0.30896137151894043,4.718,4.8524065161663765,0.4028525641025641,-265.15
