away_team,away_score,away_team_ops,away_lineup_ops,away_team_era,away_starter_era,away_close_win_pct,away_run_diff,home_team,home_score,home_team_ops,home_lineup_ops,home_team_era,home_starter_era,home_close_win_pct,home_run_diff
TEX,1,0.7495999999999999,0.7766835551496337,4.5525,5.0875697703759775,0.48495323373742827,-5.5,OAK,3,0.7337999999999999,0.7960100245908635,4.5535,4.2806816961889425,0.4707023060796645,-84.44999999999999
CWS,2,0.72325,0.7218247542647783,4.494999999999999,4.771801541425819,0.4706693729998815,-87.49999999999999,TOR,4,0.7427,0.7835783666526862,4.171,4.1013441189331,0.46079563881946684,1.7999999999999972
LAD,1,0.7554500000000001,0.7645990827730109,3.4720000000000004,2.1082543449598465,0.542269635126778,146.55,AZ,6,0.7631,0.6738917741491263,4.082,4.128591308716403,0.5438228438228437,58.349999999999994
WSH,6,0.7655500000000001,0.8084191388600717,3.751,4.158214872155759,0.5723856209150326,136.15,ATL,13,0.72015,0.6815314177885619,4.6209999999999996,4.040371623575684,0.47851365015166836,-113.95
BOS,4,0.7551,0.7882904032756781,3.889,3.1300696479054224,0.5125106600716356,115.45,MIA,2,0.7396999999999999,0.6611586527501331,4.5104999999999995,4.645308673469387,0.4679743083003952,-42.9
STL,4,0.7553999999999998,0.8150319292467504,3.8669999999999995,6.330000000000001,0.48663041494835957,68.65,MIL,5,0.73785,0.7337153129980336,4.067,3.536138357705287,0.5068940342094284,-6.799999999999999
PHI,0,0.70765,0.7882019002492506,4.6055,4.26,0.41412148702810375,-129.14999999999998,NYM,2,0.74305,0.7602614832844262,4.4185,5.16956135653726,0.4895093356491532,-52.8
COL,4,0.7793,0.7682436840277727,4.692,4.1,0.5219318181818181,20.399999999999995,SD,8,0.6901999999999999,0.7275298172387672,4.5435,6.276111111111111,0.47174418604651164,-160.35
SEA,6,0.7466999999999999,0.7502428383104555,4.3,6.079999999999999,0.5791720154043646,-8.45,SF,4,0.7051999999999999,0.7594053603392737,4.1819999999999995,4.779999999999999,0.48152804642166336,-50.85
CLE,2,0.7713,0.7877453365739753,3.497,4.486814308258812,0.5538961038961038,182.0,LAA,13,0.714,0.7793832839805566,4.181,2.781784605834885,0.5464386482243625,-4.0
KC,1,0.7267,0.6934466439359751,4.3915,4.3,0.571895325203252,-50.2,DET,0,0.75325,0.7179210890037386,4.9719999999999995,5.438586445366528,0.4874127906976744,-105.24999999999999
BAL,6,0.7474,0.7755392120477371,4.6445,5.8269423523942345,0.5227383768273295,-48.55,HOU,10,0.79035,0.8110133716189634,4.0225,3.2656553652363294,0.5513254716981133,140.0
TB,4,0.7346499999999999,0.687094416375937,4.005,3.875547033599305,0.4308928571428571,-15.95,NYY,11,0.7626000000000001,0.7846040919788786,3.8945,3.8800000000000003,0.485525467440361,123.2
TEX,4,0.7495999999999999,0.7766835551496337,4.5525,3.824122493902076,0.48495323373742827,-5.5,OAK,1,0.7337999999999999,0.7811152817966339,4.5535,4.137227336122733,0.4707023060796645,-84.44999999999999
