last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
cooper,garrett,643265,coopg002,15279
harrison,josh,543281,harrj002,8202
mccutchen,andrew,457705,mccua001,9847
iglesias,jose,578428,iglej001,10231
canha,mark,592192,canhm001,11445
yelich,christian,592885,yelic001,11477
moreland,mitch,519048,morem001,3086
pham,tommy,502054,phamt001,2967
brantley,michael,488726,branm003,4106
ward,taylor,621493,wardt002,17548
springer,george,543807,sprig001,12856
posey,buster,457763,poseb001,9166
posey,buster,457763,poseb001,9166
kang,jung ho,628356,kangj001,17182
nola,austin,543592,nolaa002,15941
vientos,mark,668901,vienm001,22184
cron,c. j.,543068,cronc002,12546
upton,justin,457708,uptoj001,5222
kang,jung ho,628356,kangj001,17182
torres,gleyber,650402,torrg001,16997
longoria,evan,446334,longe001,9368
devers,rafael,646240,dever001,17350
hosmer,eric,543333,hosme001,3516
beltré,adrian,134181,belta001,639
muncy,max,571970,muncm001,13301
joyce,matt,459964,joycm001,3353
carpenter,matt,572761,carpm002,8090
correa,carlos,621043,corrc001,14162
wade,lamonte,664774,wadel001,18126
lowe,brandon,664040,loweb001,18882
ramírez,josé,608070,ramij003,13510
france,ty,664034,frant002,17982
bautista,josé,430832,bautj002,1887
span,denard,452655,spand001,8347
bouchard,sean,656248,boucs001,21270
wade,lamonte,664774,wadel001,18126
smith,seth,452234,smits002,7331
reynolds,bryan,668804,reynb001,19326
altuve,josé,514888,altuj001,5417
avila,alex,488671,avila001,7476
riley,austin,663586,rilea001,18360
mccutchen,andrew,457705,mccua001,9847
machado,manny,592518,machm001,11493
pollock,aj,572041,polla001,9256
puig,yasiel,624577,puigy001,14225
herrera,iván,671056,herri001,20599
goldschmidt,paul,502671,goldp001,9218
walker,christian,572233,walkc002,13419
santana,carlos,467793,santc002,2396
canha,mark,592192,canhm001,11445
ramírez,josé,608070,ramij003,13510
howard,ryan,429667,howar001,2154
chapman,matt,656305,chapm001,16505
nimmo,brandon,607043,nimmb001,12927
freese,david,501896,freed001,9549
gutiérrez,franklin,429711,gutif001,3255
turner,justin,457759,turnj001,5235
bogaerts,xander,593428,bogax001,12161
kemp,matt,461314,kempm001,5631
burger,jake,669394,burgj001,22275
soler,jorge,624585,solej001,14221
reyes,franmil,614177,reyef001,14566
díaz,yandy,650490,diazy001,16578
voit,luke,572228,voitl001,14811
bichette,bo,666182,bichb001,19612
murphy,daniel,502517,murpd006,4316
wallach,chad,595453,wallc001,17161
cave,jake,595909,cavej001,14477
blackmon,charlie,453568,blacc001,7859
reynolds,bryan,668804,reynb001,19326
springer,george,543807,sprig001,12856
stanton,giancarlo,519317,stanm004,4949
moncada,yoán,660162,moncy001,17232
santander,anthony,623993,santa003,14551
pence,hunter,452254,pench001,8252
abreu,josé,547989,abrej003,15676
mccutchen,andrew,457705,mccua001,9847
polanco,jorge,593871,polaj001,13152
story,trevor,596115,stort001,12564
buxton,byron,621439,buxtb001,14161
avila,alex,488671,avila001,7476
fowler,dexter,451594,fowld001,4062
beltré,adrian,134181,belta001,639
toglia,michael,669911,toglm001,25845
ford,mike,645801,fordm002,15585
yelich,christian,592885,yelic001,11477
gyorko,jedd,576397,gyorj001,10816
moore,dylan,664238,moord002,18042
mccutchen,andrew,457705,mccua001,9847
lindor,francisco,596019,lindf001,12916
vogelbach,dan,596129,voged001,14130
grandal,yasmani,518735,grany001,11368
arráez,luis,650333,arral001,18568
martín,leonys,547982,martl004,11846
zobrist,ben,450314,zobrb001,7435
abreu,wilyer,677800,abrew002,23772
rendon,anthony,543685,renda001,12861
olson,matt,621566,olsom001,14344
mauer,joe,408045,mauej001,1857
brantley,michael,488726,branm003,4106
nava,daniel,537953,navad002,5450
bohm,alec,664761,bohma001,21618
brantley,michael,488726,branm003,4106
diaz,yainer,673237,diazy004,23003
santana,domingo,570267,santd002,10348
harris,michael,671739,harrm004,25931
betts,mookie,605141,bettm001,13611
suzuki,seiya,673548,suzus001,30116
choo,shin-soo,425783,choos001,3174
senzel,nick,669222,senzn001,19293
piscotty,stephen,572039,piscs001,13367
abreu,josé,547989,abrej003,15676
nootbaar,lars,663457,nootl001,21454
céspedes,yoenis,493316,cespy001,13110
campbell,eric,493472,campe001,6938
realmuto,j. t.,592663,realj001,11739
winker,jesse,608385,winkj002,13590
candelario,jeimer,600869,candj002,13621
canó,robinson,429664,canor001,3269
dickerson,alex,543105,dicka001,12649
aguilar,jesús,542583,aguij001,11342
encarnación,edwin,429665,encae001,2151
candelario,jeimer,600869,candj002,13621
soderstrom,tyler,691016,sodet001,27467
crawford,brandon,543063,crawb001,5343
joyce,matt,459964,joycm001,3353
bogaerts,xander,593428,bogax001,12161
turner,trea,607208,turnt001,16252
lewis,kyle,641786,lewik001,19508
mountcastle,ryan,663624,mounr001,18373
cordero,franchy,614173,cordf003,14567
ward,taylor,621493,wardt002,17548
schneider,davis,676914,schnd001,23565
díaz,yandy,650490,diazy001,16578
suárez,eugenio,553993,suare001,12552
santana,domingo,570267,santd002,10348
rizzo,anthony,519203,rizza001,3473
pederson,joc,592626,pedej001,11899
la stella,tommy,600303,lastt001,12371
de la cruz,bryan,650559,delab001,19600
walsh,jared,665120,walsj001,18607
canó,robinson,429664,canor001,3269
frazier,todd,453943,frazt001,785
abrams,cj,682928,abrac001,25768
peralta,david,444482,perad001,2136
álvarez,pedro,476883,alvap001,2495
campusano,luis,669134,campl002,22217
naylor,josh,647304,naylj001,18839
bichette,bo,666182,bichb001,19612
valencia,danny,502143,valed001,6364
davis,j. d.,605204,davij006,16219
morales,kendrys,434778,morak001,8610
swanson,dansby,621020,swand001,18314
jansen,danny,643376,jansd001,16535
bruce,jay,457803,brucj001,9892
morel,christopher,666624,morec001,21897
hilliard,sam,656541,hills005,17954
zunino,mike,572287,zunim001,13265
ramos,heliot,671218,ramoh002,22515
pinder,chad,640461,pindc001,15191
donovan,brendan,680977,donob001,24679
altuve,josé,514888,altuj001,5417
renfroe,hunter,592669,renfh001,15464
puig,yasiel,624577,puigy001,14225
westburg,jordan,676059,westj002,27815
pham,tommy,502054,phamt001,2967
gorman,nolan,669357,gormn001,22263
d'arnaud,travis,518595,darnt001,7739
ozuna,marcell,542303,ozunm001,10324
healy,ryon,592387,healr001,15447
arráez,luis,650333,arral001,18568
upton,justin,457708,uptoj001,5222
turner,justin,457759,turnj001,5235
moreland,mitch,519048,morem001,3086
mauer,joe,408045,mauej001,1857
ruf,darin,573131,ruf-d001,9929
bryant,kris,592178,bryak001,15429
soler,jorge,624585,solej001,14221
pham,tommy,502054,phamt001,2967
canó,robinson,429664,canor001,3269
contreras,willson,575929,contw001,11609
walker,neil,435522,walkn001,7539
lamb,jake,571875,lambj001,13329
seager,kyle,572122,seagk001,9785
ruf,darin,573131,ruf-d001,9929
