"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
24633,142,"MIN",2016,24633,100,0.251,0.171,0.3,0.421,0.317,0.308,0.239,1409,5618,88.2,12.4,2203,88.8,88.18,2659,11102,13434,-0.5999999999999943,6.02,108,149,108,146,294,314,290,"26.5","-26.5",,
8698,136,"SEA",2020,8698,100,0.226,0.144,0.281,0.37,0.298,0.308,0.228,435,1929,87.5,12.6,2270,88.7,88.48,1067,3810,4888,-0.20000000000000284,6.15,111,153,116,149,295,319,295,"24.8","-24.8",,
24050,136,"SEA",2021,24050,100,0.226,0.159,0.273,0.385,0.3,0.308,0.23,1209,5355,87.5,13.8,2212,88.4,88.38,3011,11233,12815,0,6.25,112,154,119,149,295,321,294,"32.8","-32.8",,
23733,116,"DET",2021,23733,100,0.242,0.158,0.3,0.399,0.306,0.308,0.237,1299,5376,87.9,12.9,2212,88.8,88.8,3184,11480,12251,0,6.28,110,154,117,149,297,324,294,"25.9","-25.9",,
24646,112,"CHC",2015,24646,100,0.244,0.154,0.305,0.398,0.313,0.307,0.231,1341,5491,87.9,12.6,2118,89.3,88.53,3138,11591,12875,-0.7999999999999972,5.95,110,149,110,147,291,312,294,"0.5","-0.5",,
23244,145,"CWS",2017,23244,100,0.256,0.161,0.309,0.417,0.313,0.307,0.246,1412,5513,86.8,10.6,2256,88.5,88.19,2974,11422,11817,-0.29999999999999716,6.08,108,149,108,146,293,318,291,"41","-41",,
24245,158,"MIL",2017,24245,100,0.249,0.18,0.308,0.429,0.321,0.307,0.237,1363,5467,86.9,10.5,2201,88.9,88.39,3136,11422,12811,-0.5,6.01,111,151,111,148,298,313,292,"16.3","-16.3",,
24090,134,"PIT",2017,24090,100,0.244,0.142,0.286,0.386,0.304,0.307,0.247,1331,5458,86,10,2196,88.9,88.45,2463,11190,12896,-0.4000000000000057,6.03,111,150,110,147,298,314,290,"69","-69",,
23703,113,"CIN",2019,23703,100,0.244,0.178,0.288,0.422,0.312,0.307,0.237,1328,5450,87.2,13.5,2259,88.6,88.28,2860,11482,12221,-0.29999999999999716,6,111,150,115,147,298,319,292,"39.1","-39.1",,
24193,115,"COL",2019,24193,100,0.265,0.19,0.321,0.456,0.328,0.307,0.244,1502,5660,88.1,12.3,2276,88.9,88.78,3073,11857,12332,-0.10000000000000853,5.95,112,152,116,149,304,329,303,"-34.4","34.4",,
23661,146,"MIA",2016,23661,100,0.263,0.131,0.314,0.394,0.309,0.306,0.255,1460,5547,88.1,8.1,2177,88.8,88.19,2412,10881,12628,-0.5999999999999943,6.04,109,149,110,146,294,312,290,"57.6","-57.6",,
23979,137,"SF",2019,23979,100,0.239,0.153,0.29,0.392,0.295,0.306,0.24,1332,5579,87.5,13.2,2236,88.8,88.38,2990,11810,12169,-0.3999999999999915,5.92,112,153,114,149,297,323,299,"115.1","-115.1",,
22881,115,"COL",2021,22881,100,0.249,0.165,0.299,0.414,0.315,0.306,0.239,1338,5374,86.5,10.7,2254,88.8,89.04,2877,11268,11611,0.20000000000000284,6.24,110,153,117,148,303,329,300,"13.7","-13.7",,
24181,158,"MIL",2016,24181,100,0.244,0.163,0.304,0.407,0.315,0.306,0.233,1299,5330,88.3,9.9,2166,88.9,88.55,2970,11022,13032,-0.4000000000000057,6.11,108,148,108,146,294,312,291,"50.2","-50.2",,
24509,142,"MIN",2018,24509,100,0.25,0.155,0.298,0.405,0.313,0.306,0.236,1379,5526,87.7,14.2,2242,88.7,88.32,2538,11110,13398,-0.4000000000000057,6.01,110,151,112,148,293,318,294,"-16.5","16.5",,
24561,110,"BAL",2019,24561,100,0.246,0.168,0.293,0.415,0.308,0.306,0.242,1379,5596,87.6,11.6,2246,88.4,87.97,3096,11891,12669,-0.4000000000000057,5.98,109,152,114,148,295,321,293,"67.8","-67.8",,
8257,116,"DET",2020,8257,100,0.245,0.152,0.314,0.397,0.303,0.306,0.241,463,1893,88.4,12.4,2294,88,88.18,1198,4007,4250,0.20000000000000284,6.33,109,153,118,149,299,326,293,"10.2","-10.2",,
22870,120,"WSH",2023,22870,100,0.254,0.142,0.293,0.396,0.309,0.306,0.25,1401,5520,87.3,11,2258,88.8,89.12,2445,11138,11730,0.29999999999999716,6.47,111,148,116,149,297,321,295,"35.1","-35.1",,
24392,135,"SD",2022,24392,100,0.241,0.141,0.289,0.382,0.308,0.306,0.237,1317,5468,87.8,12.9,2241,89.1,89.06,2691,11205,13187,0,6.3,110,153,119,148,297,323,298,"1.5","-1.5",,
23210,139,"TB",2015,23210,100,0.252,0.154,0.3,0.406,0.313,0.306,0.24,1383,5485,87.9,12.8,2131,88.2,87.6,2756,11184,11950,-0.6000000000000085,6,109,149,110,147,290,313,292,"40","-40",,
23538,145,"CWS",2019,23538,100,0.261,0.153,0.329,0.414,0.309,0.305,0.245,1443,5529,88.8,10.7,2237,88.4,88.22,3206,11635,11901,-0.20000000000000284,6.05,108,150,113,146,296,321,294,"61.4","-61.4",,
